,Ciri,Geralt,Vesemir,Lambert,Leo,Eskel,Zoltan,Dandelion,Shani,Yennefer,Saskia,Triss,Philippa,Assire,Iorveth,Henselt,Dethmold,Demawend,Stennis,Radovid,Adda,Foltest,Thaler,Vincent,Ves,Alvin,Fire,Yacvinn,King,Shile,Letho,South,Coen,Loredo,Fringilla,La,A,Javed,Vizimir,
Ciri,0,1,2,2,2,2,2,2,2,1,2,1,2,2,3,2,2,2,3,3,3,2,3,3,3,2,2,3,2,2,2,1,3,2,2,3,2,2,2,
Geralt,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,3,2,2,2,2,1,1,2,1,1,1,2,2,1,3,3,1,1,3,
Vesemir,2,1,0,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,4,4,2,2,4,
Lambert,2,1,2,0,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,4,4,2,2,4,
Leo,2,1,2,2,0,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,4,4,2,2,4,
Eskel,2,1,2,2,2,0,2,2,2,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,4,4,2,2,4,
Zoltan,2,1,2,2,2,2,0,1,1,2,1,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,3,3,2,4,3,2,2,4,
Dandelion,2,1,2,2,2,2,1,0,1,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,4,4,2,2,4,
Shani,2,1,2,2,2,2,1,1,0,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,4,4,2,2,4,
Yennefer,1,1,2,2,2,2,2,2,2,0,2,2,2,2,3,2,2,2,3,3,3,2,3,3,3,2,2,3,2,2,2,1,3,2,2,3,2,2,2,
Saskia,2,1,2,2,2,2,1,2,2,2,0,2,2,1,1,2,2,1,1,3,2,1,2,2,2,2,2,1,2,2,2,2,3,2,3,2,2,2,3,
Triss,1,1,2,2,2,2,2,2,2,2,2,0,1,3,3,2,2,3,3,2,2,1,2,2,2,2,2,3,2,1,2,2,3,2,3,2,2,2,3,
Philippa,2,1,2,2,2,2,2,2,2,2,2,1,0,3,3,2,2,3,3,1,2,2,3,3,3,2,2,3,2,2,2,3,3,2,4,3,2,2,4,
Assire,2,2,3,3,3,3,2,3,3,2,1,3,3,0,2,2,3,2,2,4,3,2,3,3,3,3,3,2,3,3,2,1,3,3,2,3,3,3,2,
Iorveth,3,2,3,3,3,3,2,3,3,3,1,3,3,2,0,3,3,2,2,4,3,2,3,3,3,3,3,2,3,3,3,3,4,3,4,3,3,3,4,
Henselt,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,1,1,1,3,3,2,3,3,3,2,2,3,2,1,2,1,3,2,2,3,2,2,2,
Dethmold,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,1,0,1,1,3,4,3,3,3,3,2,2,3,2,1,2,2,3,2,3,4,2,2,3,
Demawend,2,2,3,3,3,3,2,3,3,2,1,3,3,2,2,1,1,0,1,4,3,2,3,3,3,3,3,2,3,2,2,1,3,3,2,3,3,3,2,
Stennis,3,2,3,3,3,3,2,3,3,3,1,3,3,2,2,1,1,1,0,4,3,2,3,3,3,3,3,2,3,2,3,2,4,3,3,3,3,3,3,
Radovid,3,2,3,3,3,3,3,3,3,3,3,2,1,4,4,3,3,4,4,0,1,2,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,4,
Adda,3,3,4,4,4,4,3,4,4,3,2,2,2,3,3,3,4,3,3,1,0,1,2,2,2,2,2,3,4,3,3,2,4,3,3,2,4,4,3,
Foltest,2,2,3,3,3,3,2,3,3,2,1,1,2,2,2,2,3,2,2,2,1,0,1,1,1,1,1,2,3,2,2,1,3,2,2,1,3,3,2,
Thaler,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,0,2,2,2,2,3,3,2,3,2,4,1,3,2,3,3,3,
Vincent,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,2,0,2,2,2,3,3,2,3,2,4,1,3,2,3,3,3,
Ves,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,2,2,0,2,2,3,3,2,3,2,4,1,3,2,3,3,3,
Alvin,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,2,1,2,2,2,0,1,1,2,2,2,2,3,2,3,2,2,2,3,
Fire,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,2,1,2,2,2,1,0,2,2,2,2,2,3,2,3,2,2,2,3,
Yacvinn,3,2,3,3,3,3,2,3,3,3,1,3,3,2,2,3,3,2,2,4,3,2,3,3,3,1,2,0,3,3,3,3,4,3,4,3,3,3,4,
King,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,0,2,2,3,3,2,4,4,2,2,4,
Shile,2,1,2,2,2,2,2,2,2,2,2,1,2,3,3,1,1,2,2,3,3,2,2,2,2,2,2,3,2,0,1,2,2,1,3,3,2,2,3,
Letho,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2,3,3,3,2,2,3,2,1,0,1,1,2,2,3,2,2,2,
South,1,2,3,3,3,3,3,3,3,1,2,2,3,1,3,1,2,1,2,3,2,1,2,2,2,2,2,3,3,2,1,0,2,3,1,2,3,3,1,
Coen,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,3,3,4,3,2,1,2,0,3,3,4,3,3,3,
Loredo,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,1,1,1,2,2,3,2,1,2,3,3,0,4,3,2,2,4,
Fringilla,2,3,4,4,4,4,4,4,4,2,3,3,4,2,4,2,3,2,3,4,3,2,3,3,3,3,3,4,4,3,2,1,3,4,0,3,4,4,2,
La,3,3,4,4,4,4,3,4,4,3,2,2,3,3,3,3,4,3,3,3,2,1,2,2,2,2,2,3,4,3,3,2,4,3,3,0,4,4,3,
A,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,4,4,0,2,4,
Javed,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,4,4,2,0,4,
Vizimir,2,3,4,4,4,4,4,4,4,2,3,3,4,2,4,2,3,2,3,4,3,2,3,3,3,3,3,4,4,3,2,1,3,4,2,3,4,4,0,
